"date","CLOSE"
2021-04-27,1054.25
2021-04-28,1054.35
2021-04-29,1056.2
2021-04-30,1019
2021-05-03,1036.5
2021-05-04,1046.45
2021-05-05,1065.85
2021-05-06,1099
2021-05-07,1102.7
2021-05-10,1102.95
2021-05-11,1077.65
2021-05-12,1050
2021-05-14,1088.15
2021-05-17,1142.55
2021-05-18,1198.95
2021-05-19,1244.3
2021-05-20,1268.95
2021-05-21,1300.45
2021-05-24,1362.25
2021-05-25,1314.6
2021-05-26,1265.25
2021-05-27,1263.7
2021-05-28,1240.2
2021-05-31,1267.25
2021-06-01,1271.95
2021-06-02,1299.8
2021-06-03,1287.1
2021-06-04,1277.2
2021-06-07,1265.35
2021-06-08,1266.7
2021-06-09,1245.8
2021-06-10,1241.15
2021-06-11,1226.65
2021-06-14,1175.95
2021-06-15,1208.75
2021-06-16,1171.25
2021-06-17,1113.35
2021-06-18,1062.75
2021-06-21,1115.85
2021-06-22,1171.15
2021-06-23,1157.8
2021-06-24,1131
2021-06-25,1160.55
2021-06-28,1126.9
2021-06-29,1117.95
2021-06-30,1116.9
2021-07-01,1061.75
2021-07-02,1008.7
2021-07-05,958.3
2021-07-06,1006.2
2021-07-07,1021.9
2021-07-08,1022.8
2021-07-09,1020.5
2021-07-12,1002.2
2021-07-13,991.65
2021-07-14,972.5
2021-07-15,994.95
2021-07-16,1003.85
2021-07-19,976.15
2021-07-20,938.05
2021-07-22,981.4
2021-07-23,978.3
2021-07-26,945.4
2021-07-27,910.7
2021-07-28,946.6
2021-07-29,921.5
2021-07-30,888.2
2021-08-02,883.45
2021-08-03,894.2
2021-08-04,893.15
2021-08-05,896.4
2021-08-06,911.25
2021-08-09,904.15
2021-08-10,896.6
2021-08-11,902.2
2021-08-12,908.95
2021-08-13,917.45
2021-08-16,925.7
2021-08-17,934.75
2021-08-18,943.55
2021-08-20,931.1
2021-08-23,930.55
2021-08-24,953.3
2021-08-25,1000.95
2021-08-26,1049
2021-08-27,1039.75
2021-08-30,1060.1
2021-08-31,1066.85
2021-09-01,1078.75
2021-09-02,1082.05
2021-09-03,1079.8
2021-09-06,1110.3
2021-09-07,1103.3
2021-09-08,1155.8
2021-09-09,1213.55
2021-09-13,1182.95
2021-09-14,1148.65
2021-09-15,1123.75
2021-09-16,1170.1
2021-09-17,1153
2021-09-20,1130.95
2021-09-21,1121.6
2021-09-22,1140.6
2021-09-23,1148.2
2021-09-24,1152.15
2021-09-27,1152.95
2021-09-28,1140.55
2021-09-29,1132.8
2021-09-30,1147.25
2021-10-01,1151.15
2021-10-04,1176.2
2021-10-05,1221.6
2021-10-06,1213.7
2021-10-07,1205.7
2021-10-08,1176.9
2021-10-11,1164.3
2021-10-12,1206.6
2021-10-13,1193.25
2021-10-14,1205.85
2021-10-18,1203.7
2021-10-19,1180.15
2021-10-20,1179.85
2021-10-21,1198.65
2021-10-22,1202.05
2021-10-25,1201.85
2021-10-26,1179.85
2021-10-27,1205.5
2021-10-28,1147.15
2021-10-29,1146.35
2021-11-01,1172.2
2021-11-02,1175.3
2021-11-03,1206.4
2021-11-04,1199.3
2021-11-08,1225.1
2021-11-09,1230.85
2021-11-10,1227.95
2021-11-11,1230.75
2021-11-12,1292.25
2021-11-15,1304.5
2021-11-16,1312.2
2021-11-17,1308.2
2021-11-18,1346.85
2021-11-22,1340.6
2021-11-23,1406.95
2021-11-24,1387.7
2021-11-25,1404.85
2021-11-26,1372.35
2021-11-29,1351.15
2021-11-30,1291.2
2021-12-01,1327.95
2021-12-02,1339.6
2021-12-03,1388.9
2021-12-06,1378.15
2021-12-07,1390.7
2021-12-08,1391
2021-12-09,1389.65
2021-12-10,1388.7
2021-12-13,1386.2
2021-12-14,1436.1
2021-12-15,1438.05
2021-12-16,1401.6
2021-12-17,1405.05
2021-12-20,1369.35
2021-12-21,1381.9
2021-12-22,1401.75
2021-12-23,1422.75
2021-12-24,1385.85
2021-12-27,1375.15
2021-12-28,1397.5
2021-12-29,1392.5
2021-12-30,1307.05
2021-12-31,1327.75
2022-01-03,1347
2022-01-04,1366.45
2022-01-05,1399.6
2022-01-06,1409.3
2022-01-07,1422.55
2022-01-10,1438
2022-01-11,1567.9
2022-01-12,1647.3
2022-01-13,1664.45
2022-01-14,1697.5
2022-01-17,1827.95
2022-01-18,1906.8
2022-01-19,1937.85
2022-01-20,1965.05
2022-01-21,1935.3
2022-01-24,1838.55
2022-01-25,1929.9
2022-01-27,1913.35
2022-01-28,1936.35
2022-01-31,1878.75
2022-02-01,1903.25
2022-02-02,1913.3
2022-02-03,1912.35
2022-02-04,1951.95
2022-02-07,2024.6
2022-02-08,1924.85
2022-02-09,1918.1
2022-02-10,1907.2
2022-02-11,1905.95
2022-02-14,1864.55
2022-02-15,1888.95
2022-02-16,1931.45
2022-02-17,2047.8
2022-02-18,2045.25
2022-02-21,1955.05
2022-02-22,1973.2
2022-02-23,1987.55
2022-02-24,1851.2
2022-02-25,1922.75
2022-02-28,1839.1
2022-03-02,1883.45
2022-03-03,1949.2
2022-03-04,1891.2
2022-03-07,1803.4
2022-03-08,1782.7
2022-03-09,1829.65
2022-03-10,1883.25
2022-03-11,1859.05
2022-03-14,1829
2022-03-15,1798.35
2022-03-16,1838.15
2022-03-17,1905.75
2022-03-21,1877.55
2022-03-22,1874.55
2022-03-23,1923.25
2022-03-24,1912.25
2022-03-25,1922.45
2022-03-28,1932.55
2022-03-29,1923.25
2022-03-30,1853.2
2022-03-31,1913.4
2022-04-01,1941.9
2022-04-04,2116.6
2022-04-05,2189
2022-04-06,2193.4
2022-04-07,2164.45
2022-04-08,2323.95
2022-04-11,2701.55
2022-04-12,2789.4
2022-04-13,2864.75
2022-04-18,2968.1
2022-04-19,2903.95
2022-04-20,2808.25
2022-04-21,2808.9
2022-04-22,2888.4
2022-04-25,2825
2022-04-26,2954.25
2022-04-27,2840.2
2022-04-28,2918.15
2022-04-29,2887.3
2022-05-02,2830
2022-05-04,2672.45
